Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.3
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.51
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.13
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.19
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.97
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.8
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.32
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.08
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.27
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.38
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.44
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.07
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.3
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.19
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.6
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.65
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.47
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29.42
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.7
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.4
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.68
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.01
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.4
